ans,circle_r,circle_g,circle_b,bg_r,bg_g,bg_b
1,0.256327684776092,0.13802247148551852,0.003226611740470736,0.8425280046251103,0.8425280046251103,0.8425280046251103
0,0.22006375715334392,0.10409544246655633,0.04935200154763819,0.17981722019221402,0.17981722019221402,0.17981722019221402
0,0.9094564540209732,0.46014053068867566,0.01774195548901236,0.18552853639344058,0.18552853639344058,0.18552853639344058
3,0.9828611907601961,0.9236223650312828,0.7196343438386994,0.6672061275943765,0.6672061275943765,0.6672061275943765
3,0.8443236635357037,0.8502990319095132,0.6969879311403847,0.6240252297638943,0.6240252297638943,0.6240252297638943
3,0.5416052796531337,0.4854441441089503,0.4308665628099628,0.3522362250902553,0.3522362250902553,0.3522362250902553
1,0.43511848509788753,0.37106235958137485,0.34196573688673687,0.8549415601934239,0.8549415601934239,0.8549415601934239
0,0.7767923828269244,0.45411709020809493,0.2468320479296863,0.07048656687764288,0.07048656687764288,0.07048656687764288
3,0.9309940966915549,0.8665362381730094,0.42733265357752115,0.5546080217699347,0.5546080217699347,0.5546080217699347
3,0.7639136582931912,0.6658647760993723,0.2769502089501963,0.7489944103229377,0.7489944103229377,0.7489944103229377
1,0.1360339955336236,0.11436644673050797,0.06104305465504421,0.46155827424812657,0.46155827424812657,0.46155827424812657
0,0.5676914435772606,0.4051642246320708,0.2913015522396232,0.5971228089925793,0.5971228089925793,0.5971228089925793
1,0.3433951728262643,0.22966930913935799,0.07624300950159815,0.5258299443238034,0.5258299443238034,0.5258299443238034
1,0.545875176128144,0.28202222764932566,0.13275950252491397,0.9716615164802914,0.9716615164802914,0.9716615164802914
3,0.9652797471582428,0.9407663914587416,0.8071760851650414,0.05839094130746192,0.05839094130746192,0.05839094130746192
1,0.3700999399678624,0.2962360808408222,0.2626783664262216,0.6870396864369175,0.6870396864369175,0.6870396864369175
3,0.7332246775029303,0.654832270211532,0.4129720937958971,0.37497540596853585,0.37497540596853585,0.37497540596853585
3,0.8666125954516548,0.7392797833780298,0.15170357103106055,0.7335187288209227,0.7335187288209227,0.7335187288209227
1,0.6706563484463605,0.5042429614884009,0.12267567199053556,0.8793505399248528,0.8793505399248528,0.8793505399248528
1,0.2738285158891606,0.23499738015035018,0.04791145650161041,0.6945791394336792,0.6945791394336792,0.6945791394336792
1,0.4494290199662142,0.3906263111278331,0.304552746324796,0.8073208322017754,0.8073208322017754,0.8073208322017754
0,0.269812761830314,0.14788514555340201,0.09908857544545038,0.07376864203001399,0.07376864203001399,0.07376864203001399
3,0.03123352545610847,0.029389603134259996,0.01056114019689209,0.5701590621121595,0.5701590621121595,0.5701590621121595
3,0.8286213436011206,0.756585367798132,0.7100623137039264,0.38811030831944804,0.38811030831944804,0.38811030831944804
3,0.7507934224491635,0.7251123388379556,0.3348121587275341,0.9589902784435724,0.9589902784435724,0.9589902784435724
3,0.6126956477688718,0.4807720630165871,0.10817191227845249,0.2499470134914319,0.2499470134914319,0.2499470134914319
3,0.8031432606783657,0.7482076209521712,0.5410940168080862,0.001295731571541836,0.001295731571541836,0.001295731571541836
3,0.9265084603129743,0.9102185706613284,0.7156758118596744,0.5597252224215722,0.5597252224215722,0.5597252224215722
1,0.16302944883515524,0.13571650812319946,0.09062038172307837,0.002629886340265619,0.002629886340265619,0.002629886340265619
1,0.6023615408199171,0.4329261100109106,0.3173971208664018,0.9443955677531638,0.9443955677531638,0.9443955677531638
3,0.9283386743783881,0.9392141258374446,0.697750216581869,0.15998778275215053,0.15998778275215053,0.15998778275215053
3,0.19211993818094053,0.18215929150076515,0.09896039133481452,0.5411181654359811,0.5411181654359811,0.5411181654359811
0,0.8625598499512449,0.4270399226120514,0.19557959478020112,0.9145008484917397,0.9145008484917397,0.9145008484917397
0,0.8585745505970175,0.3701609434302183,0.132967392045399,0.023847898804143397,0.023847898804143397,0.023847898804143397
3,0.857090468756523,0.7329685490446415,0.2231043286036817,0.45119333356745317,0.45119333356745317,0.45119333356745317
3,0.973746264028234,0.6703418722924245,0.5391955752987865,0.16231692119494168,0.16231692119494168,0.16231692119494168
1,0.16947171072450495,0.1296193575890403,0.09783229006882886,0.16984370994700237,0.16984370994700237,0.16984370994700237
1,0.0982373778675324,0.05314643409232405,0.03239488547143585,0.6037270165845597,0.6037270165845597,0.6037270165845597
3,0.6087785224879712,0.4377466259446049,0.006431348341878008,0.037620686136278,0.037620686136278,0.037620686136278
3,0.9702881453684099,0.7140734922020054,0.12538181832656442,0.07954141787049329,0.07954141787049329,0.07954141787049329
3,0.8575839708697236,0.7507340817783985,0.15641781471478458,0.8022820967757872,0.8022820967757872,0.8022820967757872
3,0.37894674472380974,0.3583781089364139,0.0845788905709164,0.9254283040531124,0.9254283040531124,0.9254283040531124
1,0.5205840577488818,0.39689786535298627,0.3448604439528277,0.7248246899473237,0.7248246899473237,0.7248246899473237
1,0.506661217844346,0.3959400269027644,0.3278232107663217,0.9397536363419319,0.9397536363419319,0.9397536363419319
0,0.49930515649054774,0.359599118276358,0.1709083127026428,0.4128935840137091,0.4128935840137091,0.4128935840137091
3,0.6524298872142321,0.5377428972438173,0.4862891964636933,0.7093300505487136,0.7093300505487136,0.7093300505487136
1,0.41198461485867766,0.2812997710655365,0.10402476806418844,0.9723220593157839,0.9723220593157839,0.9723220593157839
3,0.1322581318508399,0.13532235510495372,0.047948696663836034,0.9913583702552323,0.9913583702552323,0.9913583702552323
3,0.954939227321647,0.7860444624595351,0.6606944938629851,0.652888813980492,0.652888813980492,0.652888813980492
3,0.7526758687513039,0.6484561984451076,0.5808327747574303,0.36320611493585475,0.36320611493585475,0.36320611493585475
3,0.837754907075731,0.83126341753967,0.6513392316360536,0.13385856161957943,0.13385856161957943,0.13385856161957943
3,0.9979250576555866,0.9567189176720389,0.7657224502759116,0.6010692569817618,0.6010692569817618,0.6010692569817618
3,0.7210016830263977,0.7195069105192486,0.44626443741175775,0.14603733143310504,0.14603733143310504,0.14603733143310504
3,0.02033360256479777,0.015245187730967391,0.0021011907390293618,0.5442564044467915,0.5442564044467915,0.5442564044467915
0,0.3557095116115362,0.2143857765631832,0.010238157312242863,0.2785672865899347,0.2785672865899347,0.2785672865899347
0,0.9049662235435703,0.513826812293318,0.014506880318939217,0.4207961622839468,0.4207961622839468,0.4207961622839468
3,0.16707979672016093,0.17214629973719686,0.0392548780747863,0.4390447090987084,0.4390447090987084,0.4390447090987084
1,0.4198330871452889,0.30762216761383143,0.0796044422963497,0.6367724262909539,0.6367724262909539,0.6367724262909539
3,0.8862954690405603,0.5768260250566133,0.4413616339723982,0.16750203200254987,0.16750203200254987,0.16750203200254987
0,0.4413911813689959,0.33392585445295603,0.21671561415141744,0.10492217033960327,0.10492217033960327,0.10492217033960327
3,0.41243212777009,0.42438647809054497,0.15769055962251027,0.26396652850376856,0.26396652850376856,0.26396652850376856
3,0.6914312821227199,0.5767190942021236,0.36831657484326613,0.5385155416022408,0.5385155416022408,0.5385155416022408
2,0.615952202355264,0.3979096170050698,0.19478276567140818,0.7612851410236579,0.7612851410236579,0.7612851410236579
0,0.6939753235140129,0.41381592422856234,0.23491585307103222,0.7922694277068854,0.7922694277068854,0.7922694277068854
3,0.6957952023291525,0.5972893252995022,0.09195341449455594,0.8933041314831808,0.8933041314831808,0.8933041314831808
1,0.22443249740318827,0.1604690311753152,0.0873052014225016,0.8446553492271957,0.8446553492271957,0.8446553492271957
3,0.06768550772366233,0.027771409815278644,0.003610950648060291,0.5908734670721187,0.5908734670721187,0.5908734670721187
3,0.9686012034266471,0.9614078596764022,0.5250232265462818,0.23236548189992745,0.23236548189992745,0.23236548189992745
1,0.10843216673185929,0.05350270321997967,0.01930707548243671,0.4998992760244816,0.4998992760244816,0.4998992760244816
